field_id,description,data_type,length,decimals,display_type,value_table_value_table_id,active,source_table,source_field,main_group_group_id,sub_group_group_id,validation_validation_id,grid,grid_overview
FOUND_DAT,Date Organization Founded,STRING,,,SEARCH_HELP,,true,BUS000FLDS,FOUND_DAT,IDENTIFICATION,IDEN_ORG_DATA,,false,false
LIQUID_DAT,Liquidation date,STRING,,,SEARCH_HELP,,true,BUS000FLDS,LIQUID_DAT,IDENTIFICATION,IDEN_ORG_DATA,,false,false
LOCATION_1,International location number 1,STRING,,,INPUT,,true,BUS000FLDS,LOCATION_1,IDENTIFICATION,IDEN_ORG_DATA,,false,false
LOCATION_2,International location number 2,STRING,,,INPUT,,true,BUS000FLDS,LOCATION_2,IDENTIFICATION,IDEN_ORG_DATA,,false,false
LOCATION_3,International location number 3,STRING,,,INPUT,,true,BUS000FLDS,LOCATION_3,IDENTIFICATION,IDEN_ORG_DATA,,false,false
ISEC,Industry,STRING,,,SEARCH_HELP,,true,BUS_BUPA_INDUSTRY_SECTORS,ISEC,IDENTIFICATION,IDEN_INDUSTRIES,,false,false
ISDEF,Standard Industry,STRING,,,INPUT,,true,BUS_BUPA_INDUSTRY_SECTORS,ISDEF,IDENTIFICATION,IDEN_INDUSTRIES,,false,false
TAXTYPE,Tax Number Category,STRING,,,INPUT,,true,DFKKBPTAXNUM,TAXTYPE,IDENTIFICATION,IDEN_TAX_NUM,,false,false
TAXNUMXL,Business Partner Tax Number,STRING,,,INPUT,,true,DFKKBPTAXNUM,TAXNUMXL,IDENTIFICATION,IDEN_TAX_NUM,,false,false
BPEXT,Business Partner Number in External System,STRING,,,INPUT,,true,BUT000,BPEXT,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
TYPE,ID Type,STRING,,,SEARCH_HELP,,true,VBUT0ID,TYPE,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
IDNUMBER,Identification Number,STRING,,,INPUT,,true,VBUT0ID,IDNUMBER,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
INSTITUTE,Responsible Institution,STRING,,,INPUT,,true,VBUT0ID,INSTITUTE,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
BU_ENTRYDATESTR,Entry Date,STRING,,,SEARCH_HELP,,true,BU_ENTRYDATESTR,BU_ENTRYDATESTR,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
BU_DATEFROMSTR_ID,Valid From,STRING,,,SEARCH_HELP,,true,BU_DATEFROMSTR_ID,BU_DATEFROMSTR_ID,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
BU_DATETOSTR_ID,Valid To,STRING,,,SEARCH_HELP,,true,BU_DATETOSTR_ID,BU_DATETOSTR_ID,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
ID_COUNTRY,Country,STRING,,,SEARCH_HELP,T005,true,VBUT0ID,COUNTRY,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
ID_REGION,Region,STRING,,,SEARCH_HELP,T005S,true,VBUT0ID,REGION,IDENTIFICATION,IDEN_ID_NUMBERS,,false,false
BPKIND,Business Partner Type,STRING,,,SEARCH_HELP,,true,BUS000FLDS,BPKIND,CONTROL,CTRL_PARAMS,,false,false
AUGRP,Authorization Group,STRING,,,SEARCH_HELP,,true,BUT000,AUGRP,CONTROL,CTRL_PARAMS,,false,false
PRINT_MODE,Business Partner Print Format,STRING,,,SEARCH_HELP,,true,BUT000,PRINT_MODE,CONTROL,CTRL_PARAMS,,false,false
SOURCE,Data Origin Types,STRING,,,SEARCH_HELP,,true,BUT000,SOURCE,CONTROL,CTRL_DATA_ORIGIN,,false,false
KREUZ,Field for selecting (crossing),STRING,,,INPUT,,true,EENO_DYNP,KREUZ,CONTROL,CTRL_NOTES,,false,false
ZEILE,First note text line,STRING,,,INPUT,,true,EENO_DYNP,ZEILE,CONTROL,CTRL_NOTES,,false,false
VKORG,Sales Organization,STRING,,,SEARCH_HELP,,true,RF02D,VKORG,RF02D,RF02D,,false,false
VTWEG,Distribution Channel,STRING,,,SEARCH_HELP,,true,RF02D,VTWEG,RF02D,RF02D,,false,false
SPART,Division,STRING,,,SEARCH_HELP,,true,RF02D,SPART,RF02D,RF02D,,false,false
WAERS,Currency,STRING,,,SEARCH_HELP,,true,KNVV,WAERS,ORDERS,ORDERS_ORDER,,false,false
BZIRK,Sales District,STRING,,,SEARCH_HELP,,true,KNVV,BZIRK,ORDERS,ORDERS_ORDER,,false,false
KONDA,Price Group,STRING,,,SEARCH_HELP,,true,KNVV,KONDA,ORDERS,ORDERS_PRICING,,false,false
KALKS,Customer Pricing Procedure,STRING,,,SEARCH_HELP,,true,KNVV,KALKS,ORDERS,ORDERS_PRICING,,false,false
VWERK,Delivering Plant,STRING,,,SEARCH_HELP,,true,KNVV,VWERK,SHIPPING,SHIPPING_SHIPPING,,false,false
INCO1,Incoterms,STRING,,,SEARCH_HELP,,true,KNVV,INCO1,BILLING,BILLING_DELV_PMT,,false,false
INCO2_L,Incoterms Location,STRING,,,INPUT,,true,KNVV,INCO2_L,BILLING,BILLING_DELV_PMT,,false,false
ZTERM_KNVV,Payment Terms,STRING,,,SEARCH_HELP,,true,KNVV,ZTERM,BILLING,BILLING_DELV_PMT,,false,false
KTGRD,Account Assignment Group,STRING,,,SEARCH_HELP,,true,KNVV,KTGRD,BILLING,BILLING_ACCOUNTING,,false,false
TAXKD,Tax Classification for Customer,STRING,,,SEARCH_HELP,,true,KNVI,TAXKD,BILLING,BILLING_OUTPUT_TAX,,false,false
BUKRS,Company Code,STRING,,,SEARCH_HELP,,true,T001,BUKRS,BS001,BS001,,false,false
AKONT,Reconciliation Account,STRING,,,SEARCH_HELP,,true,KNB1,AKONT,KNB1_ACCT_MGMT,KNB1_ACCT_MGMT_ACCT,,false,false
ZTERM_KNB1,Payment Terms,STRING,,,SEARCH_HELP,,true,KNB1,ZTERM,KNB1_PAYMENT,KNB1_PMT_DATA,,false,false
ZWELS,Payment Methods,STRING,,,SEARCH_HELP,,true,KNB1,ZWELS,KNB1_PAYMENT,KNB1_AUTO_PMT,,false,false
